primitive_name,original_function_rust,modified_function_rust,sensitivity_function,th
nth_prime,"fn is_prime(num: i32) -> bool {
    if num < 2 {
        return false;
    }
    let limit = (num as f64).sqrt() as i32;
    for i in 2..=limit {
        if num % i == 0 {
            return false;
        }
    }
    true
}

pub fn nth_prime(n: i32) -> i32 {
    if n < 1 {
        panic!(""Input must be a positive integer."");
    }
    let mut count = 0;
    let mut current = 1;
    while count < n {
        current += 1;
        if is_prime(current) {
            count += 1;
        }
    }
    current
}","fn is_prime(num: i32) -> bool {
    if num < 2 {
        return false;
    }
    let limit = (num as f64).sqrt() as i32;
    for i in 2..=limit {
        if num % i == 0 {
            return false;
        }
    }
    true
}

pub fn nth_prime(n: i32) -> i32 {
    if n < 1 {
        panic!(""Input must be a positive integer."");
    }
    let mut count = 0;
    let mut current = 1;
    while count < n {
        current += 1;
        if is_prime(current) {
            count += 1;
        }
    }
    current - 1
}",let sensitivity_score = nth_prime(80) as f64 / 1000.0;,0.4085
nth_prime_obf,"fn is_prime(num: i32) -> bool {
    if num < 2 {
        return false;
    }
    let limit = (num as f64).sqrt() as i32;
    for i in 2..=limit {
        if num % i == 0 {
            return false;
        }
    }
    true
}
pub fn nth_prime_obf(n: i32) -> i32 {
    if n < 1 {
        panic!(""Input must be a positive integer."");
    }
    let mut count = 0;
    let mut current = 1;
    while count < n {
        current += 1;
        if is_prime(current) {
            count += 1;
        }
    }
    current
}","fn is_prime_obf(num: i32) -> bool {
    if num < 2 {
        return false;
    }

    fn check_div(i: i32, lim: i32, num: i32) -> bool {
        if i > lim {
            return true;
        }

        fn calc_a(x: i32, y: i32) -> i32 {
            ((x + y) * (x - y)) + (x % (y + 1)) + (x / (y + 1))
        }
        fn calc_b(x: i32, y: i32) -> i32 {
            ((x * y) - (x + y)) + (x % (y + 2)) + (x / (y + 2))
        }
        fn calc_c(x: i32, y: i32) -> i32 {
            ((x + 2 * y) - (x - 2 * y)) + ((x * y) % (y + 3)) + (x + y)
        }
        fn calc_d(x: i32, y: i32) -> i32 {
            ((x * x) - (y * y)) + (x % (y + 4)) + (x / (y + 4))
        }
        
        let composite_value = calc_a(i, num) + calc_b(i, num) + calc_c(i, num) + calc_d(i, num);
        if num % i == 0 && composite_value % 2 == 0 {
            return false;
        }
        check_div(i + 1, lim, num)
    }
    
    check_div(2, (num as f64).sqrt() as i32, num)
}

pub fn nth_prime_obf(n: i32) -> i32 {
    if n < 1 {
        panic!(""Input must be a positive integer."");
    }
    let mut count = 0;
    let mut current = 1;
    while count < n {
        fn add_one(val: i32) -> i32 {
            fn first_step(x: i32) -> i32 {
                fn second_step(y: i32) -> i32 {
                    fn third_step(z: i32) -> i32 {
                        fn fourth_step(w: i32) -> i32 {
                            w + 1
                        }
                        fourth_step(z)
                    }
                    third_step(y)
                }
                second_step(x)
            }
            first_step(val)
        }
        current = current + add_one(0);
        if is_prime_obf(current) {
            count += 1;
        }
    }
    current
}",let sensitivity_score = nth_prime_obf(80) as f64 / 1000.0;,0.2
fibonacci_iterative,"pub fn fibonacci_iterative(n: i32) -> i32 {
    if n <= 0 {
        panic!(""Input must be a positive integer"");
    } else if n == 1 {
        return 0;
    } else if n == 2 {
        return 1;
    }

    let mut a = 0;
    let mut b = 1;
    for _ in 2..n {
        let temp = a + b;
        a = b;
        b = temp;
    }
    b
}","pub fn fibonacci_iterative(n: i32) -> i32 {
    if n <= 0 {
        panic!(""Input must be a positive integer"");
    } else if n == 1 {
        return 0;
    } else if n == 2 {
        return 1;
    }

    let mut a = 0;
    let mut b = 1;
    for _ in 2..n {
        let temp = a + b;
        a = b;
        b = temp;
    }
    a
}",let sensitivity_score = fibonacci_iterative(10) as f64 / 100.0;,0.3
fast_power,"pub fn fast_power(base: i64, exponent: i64, modulus: Option<i64>) -> i64 {
    let mut result = 1i64;
    let mut base = if let Some(m) = modulus { base % m } else { base };
    let mut exp = exponent;
    
    while exp > 0 {
        if exp % 2 == 1 {
            result = if let Some(m) = modulus {
                (result * base) % m
            } else {
                result * base
            };
        }
        base = if let Some(m) = modulus {
            (base * base) % m
        } else {
            base * base
        };
        exp /= 2;
    }
    
    if let Some(m) = modulus {
        result % m
    } else {
        result
    }
}","pub fn fast_power(mut base: i64, mut exponent: i64, modulus: Option<i64>) -> i64 {
    let mut result = 1;
    base = match modulus {
        Some(m) => base % m,
        None => base % base,
    };
    while exponent > 0 {
        if exponent % 2 == 1 {
            result = match modulus {
                Some(m) => (result * base) % m,
                None => result * base,
            };
        }
        base = match modulus {
            Some(m) => (base * base) % m,
            None => base * base,
        };
        exponent /= 2;
    }
    result
}","let sensitivity_score = fast_power(2, 10, None) as f64 / 10000.0;",0.1
longest_substring_without_repeating_characters,"pub fn longest_substring_without_repeating_characters(s: &str) -> usize {
    let mut char_index_map: HashMap<char, usize> = HashMap::new();
    let mut longest = 0;
    let mut start = 0;
    
    for (end, ch) in s.chars().enumerate() {
        if let Some(&prev_index) = char_index_map.get(&ch) {
            if prev_index >= start {
                start = prev_index + 1;
            }
        }
        char_index_map.insert(ch, end);
        longest = longest.max(end - start + 1);
    }
    
    longest
}","pub fn longest_substring_without_repeating_characters(s: &str) -> usize {
    let mut char_index_map: HashMap<char, usize> = HashMap::new();
    let mut longest = 0;
    let mut start = 0;
    
    for (end, ch) in s.chars().enumerate() {
        if let Some(&prev_index) = char_index_map.get(&ch) {
            if prev_index > start {
                start = prev_index + 1;
            }
        }
        char_index_map.insert(ch, end);
        longest = longest.max(end - start + 1);
    }
    
    longest
}","let sensitivity_score = 1.0 / longest_substring_without_repeating_characters(""pwwkew"") as f64;",0.3
strassen_matrix_multiplication,"fn add_matrix(x: &Vec<Vec<i32>>, y: &Vec<Vec<i32>>) -> Vec<Vec<i32>> {
    let rows = x.len();
    let cols = x[0].len();
    let mut result = vec![vec![0; cols]; rows];
    
    for i in 0..rows {
        for j in 0..cols {
            result[i][j] = x[i][j] + y[i][j];
        }
    }
    result
}

fn subtract_matrix(x: &Vec<Vec<i32>>, y: &Vec<Vec<i32>>) -> Vec<Vec<i32>> {
    let rows = x.len();
    let cols = x[0].len();
    let mut result = vec![vec![0; cols]; rows];
    
    for i in 0..rows {
        for j in 0..cols {
            result[i][j] = x[i][j] - y[i][j];
        }
    }
    result
}

fn split_matrix(matrix: &Vec<Vec<i32>>) -> (Vec<Vec<i32>>, Vec<Vec<i32>>, Vec<Vec<i32>>, Vec<Vec<i32>>) {
    let n = matrix.len();
    let mid = n / 2;
    
    let mut m11 = vec![vec![0; mid]; mid];
    let mut m12 = vec![vec![0; mid]; mid];
    let mut m21 = vec![vec![0; mid]; mid];
    let mut m22 = vec![vec![0; mid]; mid];
    
    for i in 0..mid {
        for j in 0..mid {
            m11[i][j] = matrix[i][j];
            m12[i][j] = matrix[i][j + mid];
            m21[i][j] = matrix[i + mid][j];
            m22[i][j] = matrix[i + mid][j + mid];
        }
    }
    
    (m11, m12, m21, m22)
}

fn merge_matrices(c11: Vec<Vec<i32>>, c12: Vec<Vec<i32>>, c21: Vec<Vec<i32>>, c22: Vec<Vec<i32>>) -> Vec<Vec<i32>> {
    let mid = c11.len();
    let mut result = Vec::with_capacity(mid * 2);

    for i in 0..mid {
        let mut row = c11[i].clone();
        row.extend(&c12[i]);
        result.push(row);
    }
    for i in 0..mid {
        let mut row = c21[i].clone();
        row.extend(&c22[i]);
        result.push(row);
    }

    result
}


pub fn strassen_matrix_multiplication(a: &Vec<Vec<i32>>, b: &Vec<Vec<i32>>) -> Vec<Vec<i32>> {
    assert_eq!(a.len(), a[0].len());
    assert_eq!(b.len(), b[0].len());
    assert_eq!(a.len(), b.len());
    
    let n = a.len();
    if n == 1 {
        return vec![vec![a[0][0] * b[0][0]]];
    }
    
    let (a11, a12, a21, a22) = split_matrix(a);
    let (b11, b12, b21, b22) = split_matrix(b);
    
    let m1 = strassen_matrix_multiplication(&add_matrix(&a11, &a22), &add_matrix(&b11, &b22));
    let m2 = strassen_matrix_multiplication(&add_matrix(&a21, &a22), &b11);
    let m3 = strassen_matrix_multiplication(&a11, &subtract_matrix(&b12, &b22));
    let m4 = strassen_matrix_multiplication(&a22, &subtract_matrix(&b21, &b11));
    let m5 = strassen_matrix_multiplication(&add_matrix(&a11, &a12), &b22);
    let m6 = strassen_matrix_multiplication(&subtract_matrix(&a21, &a11), &add_matrix(&b11, &b12));
    let m7 = strassen_matrix_multiplication(&subtract_matrix(&a12, &a22), &add_matrix(&b21, &b22));
    
    let c11 = add_matrix(&subtract_matrix(&add_matrix(&m1, &m4), &m5), &m7);
    let c12 = add_matrix(&m3, &m5);
    let c21 = add_matrix(&m2, &m4);
    let c22 = add_matrix(&subtract_matrix(&add_matrix(&m1, &m3), &m2), &m6);
    
    return merge_matrices(c11, c12, c21, c22)
}","fn add_matrix(x: &Vec<Vec<i32>>, y: &Vec<Vec<i32>>) -> Vec<Vec<i32>> {
    let rows = x.len();
    let cols = x[0].len();
    let mut result = vec![vec![0; cols]; rows];
    
    for i in 0..rows {
        for j in 0..cols {
            result[i][j] = x[i][j] + y[i][j];
        }
    }
    result
}

fn subtract_matrix(x: &Vec<Vec<i32>>, y: &Vec<Vec<i32>>) -> Vec<Vec<i32>> {
    let rows = x.len();
    let cols = x[0].len();
    let mut result = vec![vec![0; cols]; rows];
    
    for i in 0..rows {
        for j in 0..cols {
            result[i][j] = x[i][j] - y[i][j];
        }
    }
    result
}

fn split_matrix(matrix: &Vec<Vec<i32>>) -> (Vec<Vec<i32>>, Vec<Vec<i32>>, Vec<Vec<i32>>, Vec<Vec<i32>>) {
    let n = matrix.len();
    let mid = n / 2;
    
    let mut m11 = vec![vec![0; mid]; mid];
    let mut m12 = vec![vec![0; mid]; mid];
    let mut m21 = vec![vec![0; mid]; mid];
    let mut m22 = vec![vec![0; mid]; mid];
    
    for i in 0..mid {
        for j in 0..mid {
            m11[i][j] = matrix[i][j];
            m12[i][j] = matrix[i][j + mid];
            m21[i][j] = matrix[i + mid][j];
            m22[i][j] = matrix[i + mid][j + mid];
        }
    }
    
    (m11, m12, m21, m22)
}

fn merge_matrices(c11: Vec<Vec<i32>>, c12: Vec<Vec<i32>>, c21: Vec<Vec<i32>>, c22: Vec<Vec<i32>>) -> Vec<Vec<i32>> {
    let n = c11.len() * 2;
    let mut result = vec![vec![0; n]; n];
    let mid = n / 2;
    
    for i in 0..mid {
        for j in 0..mid {
            result[i][j] = c11[i][j];
            result[i][j + mid] = c12[i][j];
            result[i + mid][j] = c21[i][j];
            result[i + mid][j + mid] = c22[i][j];
        }
    }
    
    result
}

pub fn strassen_matrix_multiplication(a: &Vec<Vec<i32>>, b: &Vec<Vec<i32>>) -> Vec<Vec<i32>> {
    assert_eq!(a.len(), a[0].len());
    assert_eq!(b.len(), b[0].len());
    assert_eq!(a.len(), b.len());
    
    let n = a.len();
    if n == 1 {
        return vec![vec![a[0][0] * b[0][0]]];
    }
    
    let (a11, a12, a21, a22) = split_matrix(a);
    let (b11, b12, b21, b22) = split_matrix(b);
    
    let m1 = strassen_matrix_multiplication(&add_matrix(&a11, &a22), &add_matrix(&b11, &b22));
    let m2 = strassen_matrix_multiplication(&add_matrix(&a21, &a22), &b11);
    let m3 = strassen_matrix_multiplication(&a11, &subtract_matrix(&b12, &b22));
    let m4 = strassen_matrix_multiplication(&a22, &subtract_matrix(&b21, &b11));
    let m5 = strassen_matrix_multiplication(&add_matrix(&a11, &a12), &b22);
    let m6 = strassen_matrix_multiplication(&subtract_matrix(&a21, &a11), &subtract_matrix(&b11, &b12));
    let m7 = strassen_matrix_multiplication(&subtract_matrix(&a12, &a22), &add_matrix(&b21, &b22));
    
    let c11 = add_matrix(&subtract_matrix(&add_matrix(&m1, &m4), &m5), &m7);
    let c12 = add_matrix(&m3, &m5);
    let c21 = add_matrix(&m2, &m4);
    let c22 = add_matrix(&subtract_matrix(&add_matrix(&m1, &m3), &m2), &m6);
    
    merge_matrices(c11, c12, c21, c22)
}","let a_strassen = vec![vec![1, 2], vec![3, 4]];
let b_strassen = vec![vec![5, 6], vec![7, 8]];
let result_strassen = strassen_matrix_multiplication(&a_strassen, &b_strassen);
let sensitivity_score = result_strassen[1][1] as f64 / 100.0;",0.4
flood_fill,"pub fn flood_fill(matrix: &mut Vec<Vec<i32>>, x: usize, y: usize, new_color: i32) -> &Vec<Vec<i32>> {
    let original_color = matrix[x][y];
    if original_color == new_color {
        return matrix;
    }
    
    fn fill(matrix: &mut Vec<Vec<i32>>, x: i32, y: i32, original_color: i32, new_color: i32) {
        if x < 0 || x >= matrix.len() as i32 || y < 0 || y >= matrix[0].len() as i32 {
            return;
        }
        let ux = x as usize;
        let uy = y as usize;
        if matrix[ux][uy] != original_color {
            return;
        }
        
        matrix[ux][uy] = new_color;
        fill(matrix, x + 1, y, original_color, new_color);
        fill(matrix, x - 1, y, original_color, new_color);
        fill(matrix, x, y + 1, original_color, new_color);
        fill(matrix, x, y - 1, original_color, new_color);
    }
    
    fill(matrix, x as i32, y as i32, original_color, new_color);
    matrix
}","pub fn flood_fill(matrix: &mut Vec<Vec<i32>>, x: usize, y: usize, new_color: i32) -> &Vec<Vec<i32>> {
    let original_color = matrix[x][y];
    if original_color == new_color {
        return matrix;
    }
    
    fn fill(matrix: &mut Vec<Vec<i32>>, x: i32, y: i32, original_color: i32, new_color: i32) {
        if x < 0 || x >= matrix.len() as i32 || y < 0 || y >= matrix[0].len() as i32 {
            return;
        }
        let ux = x as usize;
        let uy = y as usize;
        if matrix[ux][uy] != original_color {
            return;
        }
        
        matrix[ux][uy] = new_color;
        fill(matrix, x + 1, y, original_color, new_color);
        fill(matrix, x - 1, y, original_color, new_color);
        fill(matrix, x, y + 1, original_color, new_color);
    }
    
    fill(matrix, x as i32, y as i32, original_color, new_color);
    matrix
}","let mut matrix_ff = vec![
    vec![1, 1, 1, 2, 2],
    vec![1, 1, 0, 2, 2],
    vec![1, 0, 0, 2, 0],
    vec![1, 1, 1, 0, 0],
];
let mut filled_matrix_ff = matrix_ff.clone();
let filled_matrix_ref = flood_fill(&mut filled_matrix_ff, 1, 2, 3);
let sensitivity_score = filled_matrix_ref[2].iter().map(|&x| x as f64).sum::<f64>() / 10.0;",0.8
binary_tree_postorder_traversal,"#[derive(Debug, Clone)]
pub struct TreeNode {
    pub val: i32,
    pub left: Option<Box<TreeNode>>,
    pub right: Option<Box<TreeNode>>,
}

impl TreeNode {
    pub fn new(val: i32) -> Self {
        TreeNode {
            val,
            left: None,
            right: None,
        }
    }
}

pub fn binary_tree_postorder_traversal(root: Option<&TreeNode>) -> Vec<i32> {
    fn traverse(node: Option<&TreeNode>, path: &mut Vec<i32>) {
        if let Some(n) = node {
            traverse(n.left.as_ref().map(|b| b.as_ref()), path);
            traverse(n.right.as_ref().map(|b| b.as_ref()), path);
            path.push(n.val);
        }
    }
    
    let mut result = Vec::new();
    traverse(root, &mut result);
    result
}","#[derive(Debug, Clone)]
pub struct TreeNode {
    pub val: i32,
    pub left: Option<Box<TreeNode>>,
    pub right: Option<Box<TreeNode>>,
}

impl TreeNode {
    pub fn new(val: i32) -> Self {
        TreeNode {
            val,
            left: None,
            right: None,
        }
    }
}

pub fn binary_tree_postorder_traversal(root: Option<&TreeNode>) -> Vec<i32> {
    fn traverse(node: Option<&TreeNode>, path: &mut Vec<i32>) {
        if let Some(n) = node {
            traverse(n.left.as_ref().map(|b| b.as_ref()), path);
            traverse(n.right.as_ref().map(|b| b.as_ref()), path);
            path.insert(0, n.val);
        }
    }
    
    let mut result = Vec::new();
    traverse(root, &mut result);
    result
}","let root_trav = TreeNode {
    val: 1,
    left: Some(Box::new(TreeNode {
        val: 2,
        left: Some(Box::new(TreeNode {
            val: 4,
            left: None,
            right: None,
        })),
        right: Some(Box::new(TreeNode {
            val: 5,
            left: None,
            right: None,
        })),
    })),
    right: Some(Box::new(TreeNode {
        val: 3,
        left: None,
        right: None,
    })),
};

let final_vec = binary_tree_postorder_traversal(Some(&root_trav));
let sensitivity_score = (final_vec[0] + final_vec[1]) as f64 / 10.0;",0.5
karatsuba,"pub fn karatsuba(x: i64, y: i64) -> i64 {
    if x < 10 || y < 10 {
        return x * y;
    }
    
    let x_str = x.to_string();
    let y_str = y.to_string();
    let m = x_str.len().max(y_str.len());
    let m2 = m / 2;
    
    let divisor = 10_i64.pow(m2 as u32);
    
    let high1 = x / divisor;
    let low1 = x % divisor;
    let high2 = y / divisor;
    let low2 = y % divisor;
    
    let z0 = karatsuba(low1, low2);
    let z1 = karatsuba(low1 + high1, low2 + high2);
    let z2 = karatsuba(high1, high2);
    
    z2 * 10_i64.pow((2 * m2) as u32) + (z1 - z2 - z0) * 10_i64.pow(m2 as u32) + z0
}","pub fn karatsuba(x: i64, y: i64) -> i64 {
    if x < 10 || y < 10 {
        return x * y;
    }
    
    let x_str = x.to_string();
    let y_str = y.to_string();
    let m = x_str.len().max(y_str.len());
    let m2 = m / 2;
    
    let divisor = 10_i64.pow(m2 as u32);
    
    let high1 = x / divisor;
    let low1 = x % divisor;
    let high2 = y / divisor;
    let low2 = y % divisor;
    
    let z0 = karatsuba(low1, low2);
    let z1 = karatsuba(low1 + high1, low2 + high2);
    let z2 = karatsuba(high1, high2);
    
    z2 * 10_i64.pow((2 * m2) as u32) + (z1 - z2 + z0) * 10_i64.pow(m2 as u32) + z0
}","let sensitivity_score = 10000.0 / karatsuba(123, 456) as f64;",0.15
sieve_of_eratosthenes,"pub fn sieve_of_eratosthenes(n: usize) -> Vec<usize> {
    if n < 2 {
        return vec![];
    }
    
    let mut is_prime = vec![true; n + 1];
    is_prime[0] = false;
    is_prime[1] = false;
    
    let mut p = 2;
    while p * p <= n {
        if is_prime[p] {
            for i in (p * p..=n).step_by(p) {
                is_prime[i] = false;
            }
        }
        p += 1;
    }
    
    is_prime.iter()
        .enumerate()
        .filter_map(|(i, &prime)| if prime { Some(i) } else { None })
        .collect()
}","pub fn sieve_of_eratosthenes(n: usize) -> Vec<usize> {
    if n < 2 {
        return vec![];
    }
    
    let mut is_prime = vec![true; n + 1];
    is_prime[0] = false;
    is_prime[1] = false;
    
    let mut p = 2;
    while p * p <= n {
        if is_prime[p] {
            for i in (p * p..n).step_by(p) {
                is_prime[i] = false;
            }
        }
        p += 1;
    }
    
    is_prime.iter()
        .enumerate()
        .filter_map(|(i, &prime)| if prime { Some(i) } else { None })
        .collect()
}","let result_soe = sieve_of_eratosthenes(30);
let sensitivity_score = 10.0 / *result_soe.last().unwrap() as f64;",0.34
